,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,period_group,period_specific
123,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html,Guanlong,gwan-long,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Guanlong.jpg,3.0m,small theropod,carnivorous,"Late Jurassic, 159-154 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Tyrannosauroidea","Xu, Clark, Forster, Norell, Erickson, Eberth, Jia and Zhao (2006)",wucaii,,,,Late Jurassic, 159-154 million years ago
124,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html,Hadrosaurus,HAD-row-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hadro.jpg,9.0m,euornithopod,herbivorous,"Late Cretaceous, 78-74 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Leidy (1858),foulkii,,,,Late Cretaceous, 78-74 million years ago
125,https://www.nhm.ac.uk/discover/dino-directory/hagryphus.html,Hagryphus,ha-grif-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hagryphus.jpg,3.0m,small theropod,omnivorous,"Late Cretaceous, 78-74 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria",Zanno and Sampson (2005),giganteus,,,,Late Cretaceous, 78-74 million years ago
126,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html,Haplocanthosaurus,hap-lo-kan-tho-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Haplocanthosaurus.jpg,21.5m,sauropod,herbivorous,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Camarasauridae",Hatcher (1903),priscus,,,,Late Jurassic, 154-142 million years ago
127,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html,Harpymimus,har-pi-miem-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Harpymimus.jpg,2.0m,small theropod,omnivorous,"Early Cretaceous, 121-99 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria",Barsbold and Perle (1984),okladnikovi,,,,Early Cretaceous, 121-99 million years ago
128,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html,Herrerasaurus,herr-ray-rah-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/herrera.jpg,3.0m,small theropod,carnivorous,"Late Triassic, 228 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Herrerasauridae",Reig (1963),ischigualastensis,,,,Late Triassic, 228 million years ago
129,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html,Hesperosaurus,hes-per-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hesperosaurus.jpg,6.0m,armoured dinosaur,herbivorous,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae","Carpenter, Miles and Cloward (2001)",mjosi,,,,Late Jurassic, 154-142 million years ago
130,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html,Heterodontosaurus,HET-er-oh-DONâT-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hetero.jpg,1.2m,euornithopod,herbivorous,"Early Jurassic, 205 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Heterodontosauridae",Crompton and Charig (1962),tucki,,,,Early Jurassic, 205 million years ago
131,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html,Heyuannia,Hey-YOU-ARN-ee-ah,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ingenia.jpg,2.0m,small theropod,omnivorous,"Late Cretaceous, 72-68 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae",Barsbold (1981),yanshini,,,,Late Cretaceous, 72-68 million years ago
132,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html,Homalocephale,Home-ah-loh-keff-ah-lee,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Homalocephale.jpg,1.5m,euornithopod,herbivorous,"Late Cretaceous, 72-68 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala, Homalocephaloidea",MaryaÅska and OsmÃ³lska (1974),calathocercos,,,,Late Cretaceous, 72-68 million years ago
133,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html,Huayangosaurus,hoy-YANG-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/huayango.jpg,4.5m,armoured dinosaur,herbivorous,"Mid Jurassic, 170-160 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Stegosauria, Huayangosauridae","Dong, Tang and Zhou (1982)",taibaii,,,,Mid Jurassic, 170-160 million years ago
134,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html,Hylaeosaurus,HIGH-lee-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hylaeo.jpg,5.0m,armoured dinosaur,herbivorous,"Early Cretaceous, 150-135 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria",Mantell (1833),armatus,,,,Early Cretaceous, 150-135 million years ago
135,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html,Hypacrosaurus,hi-pak-roh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hypacrosaurus.jpg,9.0m,euornithopod,herbivorous,"Late Cretaceous, 70 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Lambeosaurinae",Brown (1913),altispinus,,,,Late Cretaceous, 70 million years ago
136,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html,Hypsilophodon,hip-sih-LOH-foh-don,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hypsil.jpg,2.3m,euornithopod,herbivorous,"Early Cretaceous, 125 million years ago","England,Spain,United Kingdom","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Hypsilophodontidae",Huxley (1869),foxii,"horny beak, broad, chisel-like teeth",plant material,on 2 legs,Early Cretaceous, 125 million years ago
137,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html,Iguanodon,ig-WHA-noh-don,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/iguano.jpg,10.0m,euornithopod,herbivorous,"Early Cretaceous, 140-110 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Boulenger and van Beneden (1881),bernissartensis,chewing cheek teeth and horny beak,plant material,on 2 or 4 legs,Early Cretaceous, 140-110 million years ago
138,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html,Indosuchus,in-doh-sook-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Indosuchus.jpg,7.0m,large theropod,carnivorous,"Late Cretaceous, 71-65 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria",Huene and Matley (1933),raptorius,,,,Late Cretaceous, 71-65 million years ago
139,https://www.nhm.ac.uk/discover/dino-directory/irritator.html,Irritator,irr-it-ate-or,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Irritator.jpg,6.5m,large theropod,carnivorous,"Early Cretaceous, 112-99 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Spinosauroidea, Spinosauridae, Spinosaurinae","Martill, Cruickshank, Frey, Small and Clarke (1996)",challengeri,,,,Early Cretaceous, 112-99 million years ago
140,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html,Isisaurus,iss-ee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Isisaurus.jpg,,sauropod,herbivorous,"Late Cretaceous, 71-65 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Jain and Bandyopadhyay (1997),colberti,,,,Late Cretaceous, 71-65 million years ago
141,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html,Janenschia,yan-ensh-ee-ah,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Janenschia.jpg,20.0m,sauropod,herbivorous,"Late Jurassic, 154-151 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Wild (1991),robusta,,,,Late Jurassic, 154-151 million years ago
142,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html,Jaxartosaurus,jak-sahr-toh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jaxartosaurus.jpg,9.0m,euornithopod,herbivorous,"Late Cretaceous, 94-84 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Lambeosaurinae",Riabinin (1939),aralensis,,,,Late Cretaceous, 94-84 million years ago
143,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html,Jingshanosaurus,jing-shahn-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jingshanosaurus.jpg,5.0m,sauropod,herbivorous,"Early Jurassic, 205-190 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria",Zhang and Yang (1995),xinwaensis,,,,Early Jurassic, 205-190 million years ago
144,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html,Jinzhousaurus,jeen-joh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jinzhousaurus.jpg,,euornithopod,herbivorous,"Early Cretaceous, 127-121 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Wang and Xu (2001),yangi,,,,Early Cretaceous, 127-121 million years ago
145,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html,Jobaria,joh-bahr-ee-uh,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jobaria.jpg,21.0m,sauropod,herbivorous,"Early Cretaceous, 132-94 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson and Wilson (1999)",tiguidensis,,,,Early Cretaceous, 132-94 million years ago
146,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html,Juravenator,ju-rah-ve-nay-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Juravenator.jpg,0.8m,small theropod,carnivorous,"Late Jurassic, 154-151 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Compsognathidae",GÃ¶hlich & Chiappe (2006),starki,,,,Late Jurassic, 154-151 million years ago
147,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html,Kentrosaurus,ken-TROH-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/kentro.jpg,5.0m,armoured dinosaur,herbivorous,"Late Jurassic, 155-150 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae",Hennig (1915),aethiopicus,,,,Late Jurassic, 155-150 million years ago
148,https://www.nhm.ac.uk/discover/dino-directory/khaan.html,Khaan,kahn,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Khaan.jpg,1.8m,small theropod,omnivorous,"Late Cretaceous, 81-75 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae","Clark, Norell and Barsbold (2001)",mckennai,,,,Late Cretaceous, 81-75 million years ago
149,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html,Kotasaurus,koht-a-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Kotasaurus.jpg,9.0m,sauropod,herbivorous,"Early Jurassic, 205-180 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda",Yadagiri (1988),yamanpalliensis,,,,Early Jurassic, 205-180 million years ago
150,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html,Kritosaurus,KRIT-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/krito.jpg,8.0m,euornithopod,herbivorous,"Late Cretaceous, 78-74 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Brown (1910),navajovius,,,,Late Cretaceous, 78-74 million years ago
151,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html,Lambeosaurus,lam-BEE-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lambeo.jpg,9.0m,euornithopod,herbivorous,"Late Cretaceous, 76-74 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Lambeosaurinae",Parks (1923),lambei,,,,Late Cretaceous, 76-74 million years ago
152,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html,Lapparentosaurus,la-pah-rent-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lapparentosaurus.jpg,,sauropod,herbivorous,"Mid Jurassic, 169-164 million years ago","Belgium,England,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes",Bonaparte (1986),madagascariensis,,,,Mid Jurassic, 169-164 million years ago
153,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html,Leaellynasaura,LEE-ELL-IN-a-SORE-a,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Leaellynasaura.jpg,2.0m,euornithopod,herbivorous,"Early Cretaceous, 115-110 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Rich and Rich (1989),amicagraphica,,,,Early Cretaceous, 115-110 million years ago
154,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html,Leptoceratops,lep-toh-ker-ah-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Leptoceratops.jpg,3.0m,ceratopsian,herbivorous,"Late Cretaceous, 67-65 million years ago","Belgium,England,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria",Brown (1914),gracilis,,,,Late Cretaceous, 67-65 million years ago
155,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html,Lesothosaurus,Le-SO-toe-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lesotho.jpg,1.0m,,herbivorous,"Early Jurassic, 213-200 million years ago",Lesotho,"Dinosauria, Ornithischia",Galton (1978),diagnosticus,small grinding teeth,plant material,on 2 legs,Early Jurassic, 213-200 million years ago
156,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html,Liaoceratops,lyow-serra-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liaoceratops.jpg,,ceratopsian,herbivorous,"Early Cretaceous, 127-121 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia","Xu, Makovicky, Wang, Norell and You (2002)",yanzigouensis,,,,Early Cretaceous, 127-121 million years ago
157,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html,Ligabuesaurus,lee-gah-boo-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ligabuesaurus.jpg,24.0m,sauropod,herbivorous,"Early Cretaceous, 121-99 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Bonaparte, GonzÃ¡lez Riga and ApesteguÃ­a (2006)",leanzai,,,,Early Cretaceous, 121-99 million years ago
158,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html,Liliensternus,lil-ee-en-shtern-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liliensternus.jpg,5.0m,small theropod,carnivorous,"Late Triassic, 205-202 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda",Huene (1934),liliensterni,,,,Late Triassic, 205-202 million years ago
159,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html,Lophorhothon,lof-oh-roh-thon,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lophorhothon.jpg,4.5m,euornithopod,herbivorous,"Late Cretaceous, 84-71 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae","Xu, Makovicky, Wang, Norell and You (1960)",atopus,,,,Late Cretaceous, 84-71 million years ago
160,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html,Lophostropheus,lof-oh-stro-fee-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lophostropheus.jpg,6.2m,large theropod,carnivorous,"Early Jurassic, 203-196 million years ago",Lesotho,"Dinosauria, Saurischia",Ezcurra and Cuny 2007 (1993),airelensis,,,,Early Jurassic, 203-196 million years ago
161,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html,Lufengosaurus,Loo-FUNG-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lufengos.jpg,6.0m,sauropod,herbivorous,"Early Jurassic, 200-195 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Young (1941),huenei,,,,Early Jurassic, 200-195 million years ago
162,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html,Lurdusaurus,loor-duh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lurdusaurus.jpg,9.0m,euornithopod,herbivorous,"Early Cretaceous, 121-112 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Taquet & Russell (1999),arenatus,,,,Early Cretaceous, 121-112 million years ago
163,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html,Lycorhinus,liek-oh-rien-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lycorhinus.jpg,1.2m,euornithopod,herbivorous,"Late Triassic, 205-195 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Heterodontosauridae",Haughton (1924),angustidens,,,,Late Triassic, 205-195 million years ago
164,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html,Magyarosaurus,mod-yar-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Magyarosaurus.jpg,5.0m,sauropod,herbivorous,"Late Cretaceous, 71-65 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Nopcsa (1915),dacus,,,,Late Cretaceous, 71-65 million years ago
165,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html,Maiasaura,my-ah-SORE-ah,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/maia.jpg,9.0m,euornithopod,herbivorous,"Late Cretaceous, 80-75 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Horner and Makela (1979),peeblesorum,,,,Late Cretaceous, 80-75 million years ago
166,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html,Majungasaurus,mah-joon-gah-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Majungatholus.jpg,6.0m,large theropod,carnivorous,"Late Cretaceous, 84-71 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauridae",Sues & Taquet (1979),atopus,,,,Late Cretaceous, 84-71 million years ago
167,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html,Malawisaurus,mah-lah-wee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Malawisaurus.jpg,9.0m,sauropod,herbivorous,"Early Cretaceous, 121-112 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Haughton (1928),dixeyi,,,,Early Cretaceous, 121-112 million years ago
168,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html,Mamenchisaurus,mah-men-chi-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/mamench.jpg,22.0m,sauropod,herbivorous,"Late Jurassic, 155-145 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Young (1954),constructus,,,,Late Jurassic, 155-145 million years ago
169,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html,Mapusaurus,mah-puh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Mapusaurus.jpg,13.0m,large theropod,carnivorous,"Late Cretaceous, 99-94 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae, Charcharodontosauridae, Giganotosaurinae",Coria and Currie (2006),roseae,,,,Late Cretaceous, 99-94 million years ago
170,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html,Marshosaurus,marsh-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Marshosaurus.jpg,6.0m,large theropod,carnivorous,"Late Jurassic, 154-142 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda",Madsen (1976),bicentesimus,,,,Late Jurassic, 154-142 million years ago
171,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html,Masiakasaurus,mah-shee-ah-kah-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Masiakasaurus.jpg,2.0m,small theropod,carnivorous,"Late Cretaceous, 84-71 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria","Sampson, Carrano & Forster (2001)",knopfleri,,,,Late Cretaceous, 84-71 million years ago
172,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html,Massospondylus,mass-oh-SPON-di-luss,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/massospon.jpg,4.0m,sauropod,omnivorous,"Early Jurassic, 208-204 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Owen (1854),carinatus,,,,Early Jurassic, 208-204 million years ago
173,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html,Maxakalisaurus,max-aka-li-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Maxakalisaurus.jpg,13.0m,sauropod,herbivorous,"Late Cretaceous, 80 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae, Saltasaurinae",Kellner et al. (2006),topai,,,,Late Cretaceous, 80 million years ago
